,Код,Наименование,Рекомендованная цена
17,4601546121431,1С:Розница 8 для Армении. Базовая версия. Электронная поставка,3300
18,4601546121424,1С:Розница 8 ПРОФ для Армении. Электронная поставка,13000
206,4601546147004,1С:Бухгалтерия 8. Учебная версия. Издание 9. Коробочная поставка,390
207,4601546109996,1С:Предприятие 8.3. Версия для обучения программированию. Коробочная поставка,1200
208,2900001712941,1С:Бухгалтерия 8 для 1. Электронная поставка,3000
209,2900001712958,1С:БизнесСтарт. Электронная поставка,3000
210,4601546116673,1С:Бухгалтерия 8. Базовая версия. Электронная поставка,4000
211,4601546041661,1С:Бухгалтерия 8. Базовая версия. Коробочная поставка,6600
212,4601546048264,1С:Упрощенка 8. Коробочная поставка,6600
213,4601546119094,1С:Предприниматель. Коробочная поставка,6600
214,2900001004596,1С:Бухгалтерия 8 OEM (25 шт). Коробочная поставка,
215,4601546116680,1С:Бухгалтерия 8 ПРОФ. Электронная поставка,17600
216,4601546092540,1С:Бухгалтерия 8 ПРОФ. Коробочная поставка,17600
217,4601546092564,1С:Бухгалтерия 8 ПРОФ. Поставка для розничного распространения. Коробочная поставка,22700
218,2900001850186,1С:Бухгалтерия 8 ПРОФ. Комплект на 5 пользователей. Электронная поставка,35000
219,4601546092649,1С:Бухгалтерия 8. Комплект на 5 пользователей. Коробочная поставка,35000
220,4601546092557,1С:Бухгалтерия 8 ПРОФ на 5 пользователей. Поставка для розничного распространения. Коробочная поставка,45600
221,2900001850445,1С:Бухгалтерия 8 КОРП. Электронная поставка,45300
222,4601546091970,1С:Бухгалтерия 8 КОРП. Коробочная поставка,45300
223,2900002776362,1С:Бухгалтерия некоммерческой организации 8. Базовая версия. Электронная поставка,6000
224,2900001963466,1С:Бухгалтерия некоммерческой организации 8 ПРОФ. Электронная поставка,19400
225,2900002088250,1С:Бухгалтерия некоммерческой организации 8 КОРП. Электронная поставка,58200
226,2900002406146,1С:Гаражи. Электронная поставка,17600
227,2900002015881,1С:Садовод. Базовая версия. Электронная поставка,6600
228,4601546140531,1С:Садовод. Базовая версия. Коробочная поставка,6600
229,2900002015867,1С:Садовод. Электронная поставка,17600
230,4601546140524,1С:Садовод. Коробочная поставка,22700
231,2900001850407,1С:Налогоплательщик 8. Электронная поставка,2000
232,4601546046390,1С:Налогоплательщик 8. Коробочная поставка,2200
233,2900001850414,1С:Платежные документы 8. Электронная поставка,750
